"Designator","Qty","Value / function","Manufacturer","Manufacturer part number","Package / footprint","Population","Initial electrical selection","Status / verification required"
"U1","1","RP2040 microcontroller","Raspberry Pi","RP2040","QFN-56 7 x 7 mm","Fit","3.3 V; native USB; local 1V1 DVDD bypass","Verify exposed pad, supply pins and decoupling placement"
"U2","1","2 MB QSPI boot flash","Winbond","W25Q16JVUXIQ","USON-8 2 x 3 mm","Fit","2.7–3.6 V","Verify package pinout and RP2040 ROM compatibility"
"X1","1","12 MHz crystal","Abracon","ABM8-272-T3","3.2 x 2.5 mm","Fit","CL 10 pF; 50 ohm max ESR; 200 uW max drive","Raspberry Pi reference part; verify startup and temperature margin"
"U3","1","1-cell Li-Ion power-path charger","Texas Instruments","BQ24074RGTR","RGT0016C VQFN-16 3 x 3 mm","Fit","USB500; 404 mA nominal charge; custom TI land/stencil without via-in-pad","Verify TS, timers, input limit, exposed pad and thermal test"
"U4","1","3.3 V buck-boost system regulator","Texas Instruments","TPS63802DLAR","VSON-HR-10 3 x 2 mm","Fit","3.3 V; 0.47 uH; 511k/91k","Verify HotRod land pattern and switching layout against TI drawing"
"LBB1","1","Buck-boost inductor","Coilcraft","XFL4020-471MEC","4 x 4 mm","Fit","0.47 uH, saturation margin TBD","Validate current/thermal margin"
"U5","1","5 V LCD boost","Texas Instruments","TPS61023DRLR","SOT-563-6","Fit","5.045 V nominal; 909k/100k feedback; GPIO5 enable","Validate 1 uH and output with measured LCD load"
"LLCD1","1","LCD boost inductor","Murata","LQH2MCN1R0M02L","2016 metric","Fit","1.0 uH","Verify saturation and EMI"
"U6","1","Dual-rail LCD level translator","Texas Instruments","SN74LVC8T245PWR","TSSOP-24","Fit","VCCA 3.3 V; VCCB 5 V; A-to-B","Verify partial-power-down behavior and OE/DIR straps"
"U7","1","GNSS receiver","Ai-Thinker","GP-02","SMD-18 9.9 x 10.3 mm, 1.12 mm pitch","Fit","3.3 V switched UART NMEA","Land and pin numbers follow manufacturer drawing; verify ordered module lot and RF topology"
"U8","1","GNSS load switch","Texas Instruments","TPS22916BYFPR","YFP DSBGA-4, 0.78 x 0.78 mm, 0.4 mm pitch","Fit","GPIO18 active high","Land follows TI YFP0004 drawing; verify assembly capability and ordered suffix"
"J4","1","GNSS RF connector","Hirose","20449-001E","u.FL surface mount","Fit","50-ohm coax launch","Verify exact land and CPWG from ordered stack-up"
"ANT1","1","Internal passive L1 patch + coax","Taoglas","CGGBP.25.4.A.02","25 x 25 mm / 100 mm u.FL","External","1575.42 MHz passive patch","Provisional; verify ground plane, loss, fit and availability"
"J1","1","USB-C USB2 receptacle","GCT","USB4105-GF-A","top-mount horizontal","Fit","USB 2.0 sink; fused VBUS","Project land shortens four end GND pads to 1.0 mm for NPTH clearance; verify against fab capability and enclosure"
"D1","1","Rail-less USB D+/D- ESD suppressor","Texas Instruments","TPD2EUSB30DRTR","DRT0003A SOT-9X3 1 x 1 mm","Fit","0.7 pF typical; passive ground-only TVS","Exact TI pin order D+=1, D-=2, GND=3; no VBUS steering/backfeed path"
"RCC1,RCC2","2","USB-C Rd","Yageo","RC0402FR-075K1L","0402","Fit","5.1 kΩ 1%","Independent CC resistors"
"F1","1","USB input PTC","Bourns","MF-MSMF050-2","1812","Fit","0.50 A hold","Validate drop and trip margin with system plus charging load"
"J2","1","Battery connector","JST","B3B-PH-K-S(LF)(SN)","THT vertical","Fit","BAT+, NTC, GND","Verify cell harness polarity and keyed mating part"
"BAT1","1","Protected 1S LiPo nominal 1000 mAh","EEMB","LP603450-PCM-3W","pouch / JST-PH 3-wire","External","3.7 V nominal","Provisional: PCM IQ, NTC, dimensions and transport documents required"
"TH1","1","Cell NTC fallback","Murata","NCP18XH103F03RB","0603","DNP with pack NTC","10 kΩ B=3380–3435 K","Bond to pouch and validate BQ24074 thresholds"
"Q1,Q4","2","P-channel signal/sense switches","Diodes Incorporated","DMP3098L-7","SOT-23","Fit","Q1 only drives EN; Q4 isolates BAT ADC","Verify pinout and off leakage"
"Q2,Q3,Q5","3","N-channel latch/backlight/sense MOSFET","Diodes Incorporated","DMN2050L-7","SOT-23","Fit","logic-level gate","Verify pinout, leakage and Q3 LED current"
"SW1,SW2","2","Side LOCATE/OFF tactile","E-Switch","TL1014BF160QG","right-angle SMD with bosses","Fit","160 gf","Land and actuator datum follow manufacturer drawing; sealing remains enclosure-level"
"SW3,SW4","2","Internal BOOTSEL/RUN tactile","Panasonic","EVQ-P7A01P","EVQP7A SMD","Fit","service access","Verify BOOTSEL QSPI isolation and access"
"J3","1","16-pin LCD header","Wurth Elektronik","61301611121","1x16 2.54 mm THT","Fit","5 V write-only 4-bit bus","Verify LCD pin-1 and physical stacking"
"LCD1","1","Blue 16x2 LCD","Winstar","WH1602B-YYK-CTK","80 x 36 mm","External","5 V HD44780-compatible","Representative; freeze sample and measure BL current/contrast"
"LED1","1","Charge indicator red LED","Kingbright","KP-2012EC","0805","Fit","3V3 through RCHG1/LED to CHG_N","Confirm light-pipe brightness and status current"
"R/C network","1 set","Reference passives","Yageo / Murata","See PASSIVES_REV_A_ENGINEERING.csv","0402/0603","Fit","Values in connected source","Review every value against final vendor circuits"
